Year,SERIES,តំបន់យោង,ភេទ,អាយុ,UNIT_MEASURE,GeoCode,Value
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,46.3
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,47.6
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,46.6
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,53.0
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,56.3
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,55.1
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,57.6
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,65.7
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,68.9
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,69.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,64.5
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,67.6
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,72.0
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,71.1
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,71.8
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,66.6
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,72.3
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,75.8
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,75.2
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,76.4
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,55.8
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,63.2
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,61.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,65.1
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,65.0
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,67.3
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,68.1
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,68.7
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,66.0
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,67.6
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,73.5
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,71.3
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,65.8
