Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2021,5.5.1 Proportion of seats held by women in legislative organs,Kampong Speu,Female,Percent,KH05,16.67
1993,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Koh Kong,Female,Percent,KH09,0.0
