Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.89
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.87
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.9
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ភ្នំពេញ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH12,0.93
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.73
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.8
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.83
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.8
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.87
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.94
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,1.04
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,0.96
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,1.04
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,1.14
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះសីហនុ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH18,1.21
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,0.62
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,0.76
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,0.86
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,0.85
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,0.91
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.04
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.0
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.13
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.14
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.15
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រះវិហារ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH13,1.25
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,0.77
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,0.88
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,0.75
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,0.82
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,0.87
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,0.88
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,1.02
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,1.13
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,1.22
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,1.31
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ព្រៃវែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH14,1.38
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,0.65
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,0.64
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,0.87
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.01
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.04
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.09
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.12
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.16
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.15
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.24
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ពោធិសាត់,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH15,1.31
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.85
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.89
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.58
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.72
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.74
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.81
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.9
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.96
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.98
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.98
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.94
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,រតនគិរី,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH16,0.97
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,0.72
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,0.81
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,0.89
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.02
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.06
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.12
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.2
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.32
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.33
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.39
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.34
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,សៀមរាប,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH17,1.49
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.67
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.65
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.71
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.87
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.79
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.95
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.94
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.95
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,0.99
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,1.03
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្ទឹងត្រែង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH19,1.12
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.58
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.71
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.59
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.75
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.83
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.84
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.9
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,0.96
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,1.03
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,1.13
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,1.21
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ស្វាយរៀង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH20,1.32
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,0.59
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,0.76
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,0.71
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,0.82
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,0.87
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,0.91
