Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2009,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,70.4
2010,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,76.2
2011,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,80.1
2012,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,95.0
2013,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,70.7
2014,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,68.5
2015,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,72.7
2016,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,69.5
2017,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,71.4
2018,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,69.9
2019,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Female,,Percent,KH18,68.8
2009,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,73.8
2010,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,79.7
2011,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,79.8
2012,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,52.8
2013,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,74.3
2014,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,64.2
2015,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,70.6
2016,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,67.4
2017,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,65.1
2018,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,65.9
2019,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,Male,,Percent,KH18,62.9
2009,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,72.2
2010,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,78.0
2011,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,80.0
2012,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,73.3
2013,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,72.6
2014,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,66.3
2015,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,71.6
2016,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,68.4
2017,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,68.2
2018,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,67.9
2019,4.1.1.1 Completion rate Grade 6,Preah Sihanouk,,,Percent,KH18,65.8
2009,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,77.3
2010,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,78.7
2011,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,89.3
2012,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,77.5
2013,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,84.9
2014,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,91.5
2015,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,97.7
2016,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,93.1
2017,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,96.7
2018,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,96.4
2019,4.1.1.1 Completion rate Grade 6,Preah Vihear,Female,,Percent,KH13,94.8
2009,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,69.8
2010,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,98.0
2011,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,82.8
2012,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,84.5
2013,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,74.5
2014,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,75.5
2015,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,77.2
2016,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,79.3
2017,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,77.5
2018,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,82.7
2019,4.1.1.1 Completion rate Grade 6,Preah Vihear,Male,,Percent,KH13,80.4
2009,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,73.5
2010,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,86.9
2011,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,86.0
2012,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,81.0
2013,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,79.6
2014,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,83.4
2015,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,87.2
2016,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,86.0
2017,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,86.9
2018,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,89.4
2019,4.1.1.1 Completion rate Grade 6,Preah Vihear,,,Percent,KH13,87.4
2009,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,87.5
2010,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,82.1
2011,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,94.5
2012,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,93.0
2013,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,93.3
2014,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,94.2
2015,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,90.2
2016,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,88.7
2017,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,88.3
2018,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,90.0
2019,4.1.1.1 Completion rate Grade 6,Prey Veng,Female,,Percent,KH14,94.8
2009,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,87.9
2010,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,88.1
2011,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,97.4
2012,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,94.2
2013,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,96.1
2014,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,90.4
2015,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,88.0
2016,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,88.1
2017,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,84.7
2018,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,87.8
2019,4.1.1.1 Completion rate Grade 6,Prey Veng,Male,,Percent,KH14,91.3
2009,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,87.7
2010,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,85.2
2011,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,96.0
2012,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,93.6
2013,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,94.7
2014,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,92.2
2015,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,89.0
2016,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,88.4
2017,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,86.4
2018,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,88.9
2019,4.1.1.1 Completion rate Grade 6,Prey Veng,,,Percent,KH14,93.0
2009,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,76.4
2010,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,83.7
2011,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,81.9
2012,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,80.0
2013,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,83.7
2014,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,84.4
2015,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,82.2
2016,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,84.0
2017,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,87.6
2018,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,91.2
2019,4.1.1.1 Completion rate Grade 6,Pursat,Female,,Percent,KH15,91.1
2009,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,72.8
2010,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,84.6
2011,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,76.4
2012,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,82.4
2013,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,81.9
2014,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,75.8
2015,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,72.4
2016,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,74.4
2017,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,76.0
2018,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,83.0
2019,4.1.1.1 Completion rate Grade 6,Pursat,Male,,Percent,KH15,78.3
2009,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,74.6
2010,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,84.2
2011,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,79.1
2012,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,81.2
2013,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,82.8
2014,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,80.0
2015,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,77.1
2016,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,79.0
2017,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,81.6
2018,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,86.9
2019,4.1.1.1 Completion rate Grade 6,Pursat,,,Percent,KH15,84.5
2009,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,37.2
2010,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,38.1
2011,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,50.4
2012,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,52.2
2013,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,63.9
2014,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,61.2
2015,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,64.2
2016,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,71.9
2017,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,78.6
2018,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,86.7
2019,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Female,,Percent,KH16,94.0
2009,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,47.9
2010,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,55.8
2011,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,64.5
2012,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,67.1
2013,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,71.0
2014,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,63.3
2015,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,65.3
2016,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,68.1
2017,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,79.8
2018,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,79.7
2019,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,Male,,Percent,KH16,85.7
2009,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,42.8
2010,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,46.7
2011,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,57.6
2012,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,59.9
2013,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,67.6
2014,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,62.3
2015,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,64.8
2016,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,70.0
2017,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,79.2
2018,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,83.1
2019,4.1.1.1 Completion rate Grade 6,Ratanak Kiri,,,Percent,KH16,89.7
2009,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,84.4
2010,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,93.0
2011,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,95.2
2012,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,92.0
2013,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,99.4
2014,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,88.3
2015,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,86.5
2016,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,87.6
2017,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,86.8
2018,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,89.9
2019,4.1.1.1 Completion rate Grade 6,Siemreap,Female,,Percent,KH17,95.0
2009,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,79.2
2010,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,84.9
2011,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,87.7
2012,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,85.0
2013,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,86.2
2014,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,75.3
2015,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,73.3
2016,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,74.5
2017,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,75.6
2018,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,77.8
2019,4.1.1.1 Completion rate Grade 6,Siemreap,Male,,Percent,KH17,81.3
2009,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,81.7
2010,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,88.9
2011,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,91.3
2012,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,88.4
2013,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,92.6
2014,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,81.6
2015,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,79.7
2016,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,80.8
2017,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,81.0
2018,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,83.6
2019,4.1.1.1 Completion rate Grade 6,Siemreap,,,Percent,KH17,87.9
2009,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,72.7
2010,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,77.1
2011,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,62.5
2012,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,63.0
2013,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,63.0
2014,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,69.7
2015,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,67.9
2016,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,78.0
2017,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,76.4
2018,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,80.8
2019,4.1.1.1 Completion rate Grade 6,Stung Treng,Female,,Percent,KH19,88.3
2009,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,58.8
2010,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,70.3
2011,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,60.4
2012,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,57.3
2013,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,56.2
2014,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,65.5
2015,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,60.3
2016,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,65.3
2017,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,62.8
2018,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,72.7
2019,4.1.1.1 Completion rate Grade 6,Stung Treng,Male,,Percent,KH19,80.1
2009,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,65.7
2010,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,73.7
2011,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,61.4
2012,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,60.1
2013,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,59.6
2014,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,67.5
2015,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,64.0
2016,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,71.5
2017,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,69.5
2018,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,76.6
2019,4.1.1.1 Completion rate Grade 6,Stung Treng,,,Percent,KH19,84.1
2009,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,96.9
2010,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,95.3
2011,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,96.2
2012,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,96.0
2013,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,99.3
2014,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,94.4
2015,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,95.4
2016,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,91.8
2017,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,95.0
2018,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,96.3
2019,4.1.1.1 Completion rate Grade 6,Svay Rieng,Female,,Percent,KH20,100.8
2009,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,98.7
2010,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,93.6
2011,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,104.4
2012,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,109.2
2013,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,101.2
2014,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,99.8
2015,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,94.5
2016,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,90.2
2017,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,89.3
2018,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,92.8
2019,4.1.1.1 Completion rate Grade 6,Svay Rieng,Male,,Percent,KH20,95.2
2009,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,97.8
2010,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,94.4
2011,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,100.3
2012,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,102.7
2013,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,100.3
2014,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,97.1
2015,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,94.9
2016,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,91.0
2017,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,92.1
2018,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,94.5
2019,4.1.1.1 Completion rate Grade 6,Svay Rieng,,,Percent,KH20,98.0
2009,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,94.6
2010,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,89.0
2011,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,101.1
2012,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,98.4
2013,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,99.3
2014,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,97.6
2015,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,91.4
2016,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,86.5
2017,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,83.4
2018,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,85.8
2019,4.1.1.1 Completion rate Grade 6,Takeo,Female,,Percent,KH21,84.1
2009,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,96.8
2010,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,95.0
2011,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,105.3
2012,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,110.9
2013,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,101.2
2014,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,96.9
2015,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,90.6
2016,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,86.7
2017,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,81.0
2018,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,81.9
2019,4.1.1.1 Completion rate Grade 6,Takeo,Male,,Percent,KH21,76.9
2009,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,95.8
2010,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,92.1
2011,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,103.2
2012,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,104.7
2013,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,100.3
2014,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,97.2
2015,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,91.0
2016,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,86.6
2017,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,82.2
2018,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,83.8
2019,4.1.1.1 Completion rate Grade 6,Takeo,,,Percent,KH21,80.4
2014,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,KH25,88.6
2015,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,KH25,87.6
2016,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,KH25,90.4
2017,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,KH25,86.3
2018,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,KH25,91.0
2019,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Female,,Percent,KH25,90.2
2014,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,KH25,82.5
2015,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,KH25,78.8
2016,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,KH25,80.2
2017,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,KH25,80.0
2018,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,KH25,78.8
2019,4.1.1.1 Completion rate Grade 6,Tboung Khmum,Male,,Percent,KH25,81.2
2014,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,KH25,85.5
2015,4.1.1.1 Completion rate Grade 6,Tboung Khmum,,,Percent,KH25,83.1
